No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Regional,Mega
142,Aerodactyl,Aerodactyl,1,1.8,59.0,Rock,Flying,Rock Head,Pressure,Unnerve,87.5,12.5,0,35,Flying,,45,180,1250000,Ordinary,80,105,65,60,75,130,515,0,1
143,Snorlax,Snorlax,1,2.1,460.0,Normal,,Immunity,Thick Fat,Gluttony,87.5,12.5,0,40,Monster,,25,189,1250000,Ordinary,160,110,65,65,110,30,540,0,0
144,Articuno,Articuno,1,1.7,55.4,Ice,Flying,Pressure,,Snow Cloak,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,90,85,100,95,125,85,580,1,0
145,Zapdos,Zapdos,1,1.6,52.6,Electric,Flying,Pressure,,Static,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,90,90,85,125,90,100,580,1,0
146,Moltres,Moltres,1,2.0,60.0,Fire,Flying,Pressure,,Flame Body,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,90,100,90,125,85,90,580,1,0
147,Dratini,Dratini,1,1.8,3.3,Dragon,,Shed Skin,,Marvel Scale,50.0,50.0,0,40,Water1,Dragon,45,60,1250000,Ordinary,41,64,45,50,50,50,300,0,0
148,Dragonair,Dragonair,1,4.0,16.5,Dragon,,Shed Skin,,Marvel Scale,50.0,50.0,0,40,Water1,Dragon,45,147,1250000,Ordinary,61,84,65,70,70,70,420,0,0
149,Dragonite,Dragonite,1,2.2,210.0,Dragon,Flying,Inner Focus,,Multiscale,50.0,50.0,0,40,Water1,Dragon,45,300,1250000,Ordinary,91,134,95,100,100,80,600,0,0
150,Mewtwo,Mewtwo,1,2.0,122.0,Psychic,,Pressure,,Unnerve,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,106,110,90,154,90,130,680,0,1
151,Mew,Mew,1,0.4,4.0,Psychic,,Synchronize,,,0.0,0.0,100,120,Undiscovered,,45,300,1059860,Mythical,100,100,100,100,100,100,600,0,0
152,Chikorita,Chikorita,2,0.9,6.4,Grass,,Overgrow,,Leaf Guard,87.5,12.5,0,20,Monster,Grass,45,64,1059860,Ordinary,45,49,65,49,65,45,318,0,0
153,Bayleef,Bayleef,2,1.2,15.8,Grass,,Overgrow,,Leaf Guard,87.5,12.5,0,20,Monster,Grass,45,142,1059860,Ordinary,60,62,80,63,80,60,405,0,0
154,Meganium,Meganium,2,1.8,100.5,Grass,,Overgrow,,Leaf Guard,87.5,12.5,0,20,Monster,Grass,45,263,1059860,Ordinary,80,82,100,83,100,80,525,0,0
155,Cyndaquil,Cyndaquil,2,0.5,7.9,Fire,,Blaze,,Flash Fire,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,39,52,43,60,50,65,309,0,0
156,Quilava,Quilava,2,0.9,19.0,Fire,,Blaze,,Flash Fire,87.5,12.5,0,20,Ground,,45,142,1059860,Ordinary,58,64,58,80,65,80,405,0,0
157,Typhlosion,Typhlosion,2,1.7,79.5,Fire,,Blaze,,Flash Fire,87.5,12.5,0,20,Ground,,45,267,1059860,Ordinary,78,84,78,109,85,100,534,1,0
158,Totodile,Totodile,2,0.6,9.5,Water,,Torrent,,Sheer Force,87.5,12.5,0,20,Monster,Water1,45,63,1059860,Ordinary,50,65,64,44,48,43,314,0,0
159,Croconaw,Croconaw,2,1.1,25.0,Water,,Torrent,,Sheer Force,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,65,80,80,59,63,58,405,0,0
160,Feraligatr,Feraligatr,2,2.3,88.8,Water,,Torrent,,Sheer Force,87.5,12.5,0,20,Monster,Water1,45,265,1059860,Ordinary,85,105,100,79,83,78,530,0,0
161,Sentret,Sentret,2,0.8,6.0,Normal,,Run Away,Keen Eye,Frisk,50.0,50.0,0,15,Ground,,255,43,1000000,Ordinary,35,46,34,35,45,20,215,0,0
162,Furret,Furret,2,1.8,32.5,Normal,,Run Away,Keen Eye,Frisk,50.0,50.0,0,15,Ground,,90,145,1000000,Ordinary,85,76,64,45,55,90,415,0,0
163,Hoothoot,Hoothoot,2,0.7,21.2,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,50.0,50.0,0,15,Flying,,255,52,1000000,Ordinary,60,30,30,36,56,50,262,0,0
164,Noctowl,Noctowl,2,1.6,40.8,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,50.0,50.0,0,15,Flying,,90,158,1000000,Ordinary,100,50,50,86,96,70,452,0,0
165,Ledyba,Ledyba,2,1.0,10.8,Bug,Flying,Swarm,Early Bird,Rattled,50.0,50.0,0,15,Bug,,255,53,800000,Ordinary,40,20,30,40,80,55,265,0,0
166,Ledian,Ledian,2,1.4,35.6,Bug,Flying,Swarm,Early Bird,Iron Fist,50.0,50.0,0,15,Bug,,90,137,800000,Ordinary,55,35,50,55,110,85,390,0,0
167,Spinarak,Spinarak,2,0.5,8.5,Bug,Poison,Swarm,Insomnia,Sniper,50.0,50.0,0,15,Bug,,255,50,800000,Ordinary,40,60,40,40,40,30,250,0,0
168,Ariados,Ariados,2,1.1,33.5,Bug,Poison,Swarm,Insomnia,Sniper,50.0,50.0,0,15,Bug,,90,140,800000,Ordinary,70,90,70,60,70,40,400,0,0
169,Crobat,Crobat,2,1.8,75.0,Poison,Flying,Inner Focus,,Infiltrator,50.0,50.0,0,15,Flying,,90,268,1000000,Ordinary,85,90,80,70,80,130,535,0,0
170,Chinchou,Chinchou,2,0.5,12.0,Water,Electric,Volt Absorb,Illuminate,Water Absorb,50.0,50.0,0,20,Water2,,190,66,1250000,Ordinary,75,38,38,56,56,67,330,0,0
171,Lanturn,Lanturn,2,1.2,22.5,Water,Electric,Volt Absorb,Illuminate,Water Absorb,50.0,50.0,0,20,Water2,,75,161,1250000,Ordinary,125,58,58,76,76,67,460,0,0
172,Pichu,Pichu,2,0.3,2.0,Electric,,Static,,Lightning Rod,50.0,50.0,0,10,Undiscovered,,190,41,1000000,Ordinary,20,40,15,35,35,60,205,0,0
173,Cleffa,Cleffa,2,0.3,3.0,Fairy,,Cute Charm,Magic Guard,Friend Guard,25.0,75.0,0,10,Undiscovered,,150,44,800000,Ordinary,50,25,28,45,55,15,218,0,0
174,Igglybuff,Igglybuff,2,0.3,1.0,Normal,Fairy,Cute Charm,Competitive,Friend Guard,25.0,75.0,0,10,Undiscovered,,170,42,800000,Ordinary,90,30,15,40,20,15,210,0,0
175,Togepi,Togepi,2,0.3,1.5,Fairy,,Hustle,Serene Grace,Super Luck,87.5,12.5,0,10,Undiscovered,,190,49,800000,Ordinary,35,20,65,40,65,20,245,0,0
176,Togetic,Togetic,2,0.6,3.2,Fairy,Flying,Hustle,Serene Grace,Super Luck,87.5,12.5,0,10,Flying,Fairy,75,142,800000,Ordinary,55,40,85,80,105,40,405,0,0
177,Natu,Natu,2,0.2,2.0,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,50.0,50.0,0,20,Flying,,190,64,1000000,Ordinary,40,50,45,70,45,70,320,0,0
178,Xatu,Xatu,2,1.5,15.0,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,50.0,50.0,0,20,Flying,,75,165,1000000,Ordinary,65,75,70,95,70,95,470,0,0
179,Mareep,Mareep,2,0.6,7.8,Electric,,Static,,Plus,50.0,50.0,0,20,Monster,Ground,235,56,1059860,Ordinary,55,40,40,65,45,35,280,0,0
180,Flaaffy,Flaaffy,2,0.8,13.3,Electric,,Static,,Plus,50.0,50.0,0,20,Monster,Ground,120,128,1059860,Ordinary,70,55,55,80,60,45,365,0,0
181,Ampharos,Ampharos,2,1.4,61.5,Electric,,Static,,Plus,50.0,50.0,0,20,Monster,Ground,45,255,1059860,Ordinary,90,75,85,115,90,55,510,0,1
182,Bellossom,Bellossom,2,0.4,5.8,Grass,,Chlorophyll,,Healer,50.0,50.0,0,20,Grass,,45,245,1059860,Ordinary,75,80,95,90,100,50,490,0,0
183,Marill,Marill,2,0.4,8.5,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,50.0,50.0,0,10,Water1,Fairy,190,88,800000,Ordinary,70,20,50,20,50,40,250,0,0
184,Azumarill,Azumarill,2,0.8,28.5,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,50.0,50.0,0,10,Water1,Fairy,75,210,800000,Ordinary,100,50,80,60,80,50,420,0,0
185,Sudowoodo,Sudowoodo,2,1.2,38.0,Rock,,Sturdy,Rock Head,Rattled,50.0,50.0,0,20,Mineral,,65,144,1000000,Ordinary,70,100,115,30,65,30,410,0,0
186,Politoed,Politoed,2,1.1,33.9,Water,,Water Absorb,Damp,Drizzle,50.0,50.0,0,20,Water1,,45,250,1059860,Ordinary,90,75,75,90,100,70,500,0,0
187,Hoppip,Hoppip,2,0.4,0.5,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,50.0,50.0,0,20,Fairy,Grass,255,50,1059860,Ordinary,35,35,40,35,55,50,250,0,0
188,Skiploom,Skiploom,2,0.6,1.0,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,50.0,50.0,0,20,Fairy,Grass,120,119,1059860,Ordinary,55,45,50,45,65,80,340,0,0
189,Jumpluff,Jumpluff,2,0.8,3.0,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,50.0,50.0,0,20,Fairy,Grass,45,230,1059860,Ordinary,75,55,70,55,95,110,460,0,0
190,Aipom,Aipom,2,0.8,11.5,Normal,,Run Away,Pickup,Skill Link,50.0,50.0,0,20,Ground,,45,72,800000,Ordinary,55,70,55,40,55,85,360,0,0
191,Sunkern,Sunkern,2,0.3,1.8,Grass,,Chlorophyll,Solar Power,Early Bird,50.0,50.0,0,20,Grass,,235,36,1059860,Ordinary,30,30,30,30,30,30,180,0,0
192,Sunflora,Sunflora,2,0.8,8.5,Grass,,Chlorophyll,Solar Power,Early Bird,50.0,50.0,0,20,Grass,,120,149,1059860,Ordinary,75,75,55,105,85,30,425,0,0
193,Yanma,Yanma,2,1.2,38.0,Bug,Flying,Speed Boost,Compound Eyes,Frisk,50.0,50.0,0,20,Bug,,75,78,1000000,Ordinary,65,65,45,75,45,95,390,0,0
194,Wooper,Paldean Wooper,9,0.4,11.0,Poison,Ground,Poison Point,Water Absorb,Unaware,50.0,50.0,0,20,Water1,Ground,255,42,1000000,Ordinary,55,45,45,25,25,15,210,1,0
195,Quagsire,Quagsire,2,1.4,75.0,Water,Ground,Damp,Water Absorb,Unaware,50.0,50.0,0,20,Water1,Ground,90,151,1000000,Ordinary,95,85,85,65,65,35,430,0,0
196,Espeon,Espeon,2,0.9,26.5,Psychic,,Synchronize,,Magic Bounce,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,65,65,60,130,95,110,525,0,0
197,Umbreon,Umbreon,2,1.0,27.0,Dark,,Synchronize,,Inner Focus,87.5,12.5,0,35,Ground,,45,184,1000000,Ordinary,95,65,110,60,130,65,525,0,0
198,Murkrow,Murkrow,2,0.5,2.1,Dark,Flying,Insomnia,Super Luck,Prankster,50.0,50.0,0,20,Flying,,30,81,1059860,Ordinary,60,85,42,85,42,91,405,0,0
199,Slowking,Slowking,2,2.0,79.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,50.0,50.0,0,20,Monster,Water1,70,172,1000000,Ordinary,95,75,80,100,110,30,490,1,0
200,Misdreavus,Misdreavus,2,0.7,1.0,Ghost,,Levitate,,,50.0,50.0,0,25,Amorphous,,45,87,800000,Ordinary,60,60,60,85,85,85,435,0,0
201,Unown,Unown,2,0.5,5.0,Psychic,,Levitate,,,0.0,0.0,100,40,Undiscovered,,225,118,1000000,Ordinary,48,72,48,72,48,48,336,0,0
202,Wobbuffet,Wobbuffet,2,1.3,28.5,Psychic,,Shadow Tag,,Telepathy,50.0,50.0,0,20,Amorphous,,45,142,1000000,Ordinary,190,33,58,33,58,33,405,0,0
203,Girafarig,Girafarig,2,1.5,41.5,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,50.0,50.0,0,20,Ground,,60,159,1000000,Ordinary,70,80,65,90,65,85,455,0,0
204,Pineco,Pineco,2,0.6,7.2,Bug,,Sturdy,,Overcoat,50.0,50.0,0,20,Bug,,190,58,1000000,Ordinary,50,65,90,35,35,15,290,0,0
205,Forretress,Forretress,2,1.2,125.8,Bug,Steel,Sturdy,,Overcoat,50.0,50.0,0,20,Bug,,75,163,1000000,Ordinary,75,90,140,60,60,40,465,0,0
206,Dunsparce,Dunsparce,2,1.5,14.0,Normal,,Serene Grace,Run Away,Rattled,50.0,50.0,0,20,Ground,,190,145,1000000,Ordinary,100,70,70,65,65,45,415,0,0
207,Gligar,Gligar,2,1.1,64.8,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,50.0,50.0,0,20,Bug,,60,86,1059860,Ordinary,65,75,105,35,65,85,430,0,0
208,Steelix,Steelix,2,9.2,400.0,Steel,Ground,Rock Head,Sturdy,Sheer Force,50.0,50.0,0,25,Mineral,,25,179,1000000,Ordinary,75,85,200,55,65,30,510,0,1
209,Snubbull,Snubbull,2,0.6,7.8,Fairy,,Intimidate,Run Away,Rattled,25.0,75.0,0,20,Ground,Fairy,190,60,800000,Ordinary,60,80,50,40,40,30,300,0,0
210,Granbull,Granbull,2,1.4,48.7,Fairy,,Intimidate,Quick Feet,Rattled,25.0,75.0,0,20,Ground,Fairy,75,158,800000,Ordinary,90,120,75,60,60,45,450,0,0
211,Qwilfish,Qwilfish,2,0.5,3.9,Water,Poison,Poison Point,Swift Swim,Intimidate,50.0,50.0,0,20,Water2,,45,88,1000000,Ordinary,65,95,85,55,55,85,440,1,0
212,Scizor,Scizor,2,1.8,118.0,Bug,Steel,Swarm,Technician,Light Metal,50.0,50.0,0,25,Bug,,25,175,1000000,Ordinary,70,130,100,55,80,65,500,0,1
213,Shuckle,Shuckle,2,0.6,20.5,Bug,Rock,Sturdy,Gluttony,Contrary,50.0,50.0,0,20,Bug,,190,177,1059860,Ordinary,20,10,230,10,230,5,505,0,0
214,Heracross,Heracross,2,1.5,54.0,Bug,Fighting,Swarm,Guts,Moxie,50.0,50.0,0,25,Bug,,45,175,1250000,Ordinary,80,125,75,40,95,85,500,0,1
215,Sneasel,Sneasel,2,0.9,28.0,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,50.0,50.0,0,20,Ground,,60,86,1059860,Ordinary,55,95,55,35,75,115,430,1,0
216,Teddiursa,Teddiursa,2,0.6,8.8,Normal,,Pickup,Quick Feet,Honey Gather,50.0,50.0,0,20,Ground,,120,66,1000000,Ordinary,60,80,50,50,50,40,330,0,0
217,Ursaring,Ursaring,2,1.8,125.8,Normal,,Guts,Quick Feet,Unnerve,50.0,50.0,0,20,Ground,,60,175,1000000,Ordinary,90,130,75,75,75,55,500,0,0
218,Slugma,Slugma,2,0.7,35.0,Fire,,Magma Armor,Flame Body,Weak Armor,50.0,50.0,0,20,Amorphous,,190,50,1000000,Ordinary,40,40,40,70,40,20,250,0,0
219,Magcargo,Magcargo,2,0.8,55.0,Fire,Rock,Magma Armor,Flame Body,Weak Armor,50.0,50.0,0,20,Amorphous,,75,151,1000000,Ordinary,60,50,120,90,80,30,430,0,0
220,Swinub,Swinub,2,0.4,6.5,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,50.0,50.0,0,20,Ground,,225,50,1250000,Ordinary,50,50,40,30,30,50,250,0,0
221,Piloswine,Piloswine,2,1.1,55.8,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,50.0,50.0,0,20,Ground,,75,158,1250000,Ordinary,100,100,80,60,60,50,450,0,0
222,Corsola,Corsola,2,0.6,5.0,Water,Rock,Hustle,Natural Cure,Regenerator,25.0,75.0,0,20,Water1,Water3,60,144,800000,Ordinary,65,55,95,65,95,35,410,1,0
223,Remoraid,Remoraid,2,0.6,12.0,Water,,Hustle,Sniper,Moody,50.0,50.0,0,20,Water1,Water2,190,60,1000000,Ordinary,35,65,35,65,35,65,300,0,0
224,Octillery,Octillery,2,0.9,28.5,Water,,Suction Cups,Sniper,Moody,50.0,50.0,0,20,Water1,Water2,75,168,1000000,Ordinary,75,105,75,105,75,45,480,0,0
225,Delibird,Delibird,2,0.9,16.0,Ice,Flying,Vital Spirit,Hustle,Insomnia,50.0,50.0,0,20,Water1,Ground,45,116,800000,Ordinary,45,55,45,65,45,75,330,0,0
226,Mantine,Mantine,2,2.1,220.0,Water,Flying,Swift Swim,Water Absorb,Water Veil,50.0,50.0,0,25,Water1,,25,170,1250000,Ordinary,85,40,70,80,140,70,485,0,0
227,Skarmory,Skarmory,2,1.7,50.5,Steel,Flying,Keen Eye,Sturdy,Weak Armor,50.0,50.0,0,25,Flying,,25,163,1250000,Ordinary,65,80,140,40,70,70,465,0,0
228,Houndour,Houndour,2,0.6,10.8,Dark,Fire,Early Bird,Flash Fire,Unnerve,50.0,50.0,0,20,Ground,,120,66,1250000,Ordinary,45,60,30,80,50,65,330,0,0
229,Houndoom,Houndoom,2,1.4,35.0,Dark,Fire,Early Bird,Flash Fire,Unnerve,50.0,50.0,0,20,Ground,,45,175,1250000,Ordinary,75,90,50,110,80,95,500,0,1
230,Kingdra,Kingdra,2,1.8,152.0,Water,Dragon,Swift Swim,Sniper,Damp,50.0,50.0,0,20,Water1,Dragon,45,270,1000000,Ordinary,75,95,95,95,95,85,540,0,0
231,Phanpy,Phanpy,2,0.5,33.5,Ground,,Pickup,,Sand Veil,50.0,50.0,0,20,Ground,,120,66,1000000,Ordinary,90,60,60,40,40,40,330,0,0
232,Donphan,Donphan,2,1.1,120.0,Ground,,Sturdy,,Sand Veil,50.0,50.0,0,20,Ground,,60,175,1000000,Ordinary,90,120,120,60,60,50,500,0,0
233,Porygon2,Porygon2,2,0.6,32.5,Normal,,Trace,Download,Analytic,0.0,0.0,100,20,Mineral,,45,180,1000000,Ordinary,85,80,90,105,95,60,515,0,0
234,Stantler,Stantler,2,1.4,71.2,Normal,,Intimidate,Frisk,Sap Sipper,50.0,50.0,0,20,Ground,,45,163,1250000,Ordinary,73,95,62,85,65,85,465,0,0
235,Smeargle,Smeargle,2,1.2,58.0,Normal,,Own Tempo,Technician,Moody,50.0,50.0,0,20,Ground,,45,88,800000,Ordinary,55,20,35,20,45,75,250,0,0
236,Tyrogue,Tyrogue,2,0.7,21.0,Fighting,,Guts,Steadfast,Vital Spirit,100.0,0.0,0,25,Undiscovered,,75,42,1000000,Ordinary,35,35,35,35,35,35,210,0,0
237,Hitmontop,Hitmontop,2,1.4,48.0,Fighting,,Intimidate,Technician,Steadfast,100.0,0.0,0,25,Human-Like,,45,159,1000000,Ordinary,50,95,95,35,110,70,455,0,0
238,Smoochum,Smoochum,2,0.4,6.0,Ice,Psychic,Oblivious,Forewarn,Hydration,0.0,100.0,0,25,Undiscovered,,45,61,1000000,Ordinary,45,30,15,85,65,65,305,0,0
239,Elekid,Elekid,2,0.6,23.5,Electric,,Static,,Vital Spirit,75.0,25.0,0,25,Undiscovered,,45,72,1000000,Ordinary,45,63,37,65,55,95,360,0,0
240,Magby,Magby,2,0.7,21.4,Fire,,Flame Body,,Vital Spirit,75.0,25.0,0,25,Undiscovered,,45,73,1000000,Ordinary,45,75,37,70,55,83,365,0,0
241,Miltank,Miltank,2,1.2,75.5,Normal,,Thick Fat,Scrappy,Sap Sipper,0.0,100.0,0,20,Ground,,45,172,1250000,Ordinary,95,80,105,40,70,100,490,0,0
242,Blissey,Blissey,2,1.5,46.8,Normal,,Natural Cure,Serene Grace,Healer,0.0,100.0,0,40,Fairy,,30,635,800000,Ordinary,255,10,10,75,135,55,540,0,0
243,Raikou,Raikou,2,1.9,178.0,Electric,,Pressure,,Inner Focus,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,90,85,75,115,100,115,580,0,0
244,Entei,Entei,2,2.1,198.0,Fire,,Pressure,,Inner Focus,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,115,115,85,90,75,100,580,0,0
245,Suicune,Suicune,2,2.0,187.0,Water,,Pressure,,Inner Focus,0.0,0.0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,100,75,115,90,115,85,580,0,0
246,Larvitar,Larvitar,2,0.6,72.0,Rock,Ground,Guts,,Sand Veil,50.0,50.0,0,40,Monster,,45,60,1250000,Ordinary,50,64,50,45,50,41,300,0,0
247,Pupitar,Pupitar,2,1.2,152.0,Rock,Ground,Shed Skin,,,50.0,50.0,0,40,Monster,,45,144,1250000,Ordinary,70,84,70,65,70,51,410,0,0
248,Tyranitar,Tyranitar,2,2.0,202.0,Rock,Dark,Sand Stream,,Unnerve,50.0,50.0,0,40,Monster,,45,300,1250000,Ordinary,100,134,110,95,100,61,600,0,1
249,Lugia,Lugia,2,5.2,216.0,Psychic,Flying,Pressure,,Multiscale,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,106,90,130,90,154,110,680,0,0
250,Ho-Oh,Ho-Oh,2,3.8,199.0,Fire,Flying,Pressure,,Regenerator,0.0,0.0,100,120,Undiscovered,,3,340,1250000,Legendary,106,130,90,110,154,90,680,0,0
251,Celebi,Celebi,2,0.6,5.0,Psychic,Grass,Natural Cure,,,0.0,0.0,100,120,Undiscovered,,45,300,1059860,Mythical,100,100,100,100,100,100,600,0,0
252,Treecko,Treecko,3,0.5,5.0,Grass,,Overgrow,,Unburden,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,40,45,35,65,55,70,310,0,0
253,Grovyle,Grovyle,3,0.9,21.6,Grass,,Overgrow,,Unburden,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,50,65,45,85,65,95,405,0,0
254,Sceptile,Sceptile,3,1.7,52.2,Grass,,Overgrow,,Unburden,87.5,12.5,0,20,Monster,Dragon,45,265,1059860,Ordinary,70,85,65,105,85,120,530,0,1
255,Torchic,Torchic,3,0.4,2.5,Fire,,Blaze,,Speed Boost,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,45,60,40,70,50,45,310,0,0
256,Combusken,Combusken,3,0.9,19.5,Fire,Fighting,Blaze,,Speed Boost,87.5,12.5,0,20,Ground,,45,142,1059860,Ordinary,60,85,60,85,60,55,405,0,0
257,Blaziken,Blaziken,3,1.9,52.0,Fire,Fighting,Blaze,,Speed Boost,87.5,12.5,0,20,Ground,,45,265,1059860,Ordinary,80,120,70,110,70,80,530,0,1
258,Mudkip,Mudkip,3,0.4,7.6,Water,,Torrent,,Damp,87.5,12.5,0,20,Monster,Water1,45,62,1059860,Ordinary,50,70,50,50,50,40,310,0,0
259,Marshtomp,Marshtomp,3,0.7,28.0,Water,Ground,Torrent,,Damp,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,70,85,70,60,70,50,405,0,0
260,Swampert,Swampert,3,1.5,81.9,Water,Ground,Torrent,,Damp,87.5,12.5,0,20,Monster,Water1,45,268,1059860,Ordinary,100,110,90,85,90,60,535,0,1
261,Poochyena,Poochyena,3,0.5,13.6,Dark,,Run Away,Quick Feet,Rattled,50.0,50.0,0,15,Ground,,255,56,1000000,Ordinary,35,55,35,30,30,35,220,0,0
262,Mightyena,Mightyena,3,1.0,37.0,Dark,,Intimidate,Quick Feet,Moxie,50.0,50.0,0,15,Ground,,127,147,1000000,Ordinary,70,90,70,60,60,70,420,0,0
263,Zigzagoon,Zigzagoon,3,0.4,17.5,Normal,,Pickup,Gluttony,Quick Feet,50.0,50.0,0,15,Ground,,255,56,1000000,Ordinary,38,30,41,30,41,60,240,1,0
264,Linoone,Linoone,3,0.5,32.5,Normal,,Pickup,Gluttony,Quick Feet,50.0,50.0,0,15,Ground,,90,147,1000000,Ordinary,78,70,61,50,61,100,420,1,0
265,Wurmple,Wurmple,3,0.3,3.6,Bug,,Shield Dust,,Run Away,50.0,50.0,0,15,Bug,,255,56,1000000,Ordinary,45,45,35,20,30,20,195,0,0
266,Silcoon,Silcoon,3,0.6,10.0,Bug,,Shed Skin,,,50.0,50.0,0,15,Bug,,120,72,1000000,Ordinary,50,35,55,25,25,15,205,0,0
267,Beautifly,Beautifly,3,1.0,28.4,Bug,Flying,Swarm,,Rivalry,50.0,50.0,0,15,Bug,,45,178,1000000,Ordinary,60,70,50,100,50,65,395,0,0
268,Cascoon,Cascoon,3,0.7,11.5,Bug,,Shed Skin,,,50.0,50.0,0,15,Bug,,120,72,1000000,Ordinary,50,35,55,25,25,15,205,0,0
269,Dustox,Dustox,3,1.2,31.6,Bug,Poison,Shield Dust,,Compound Eyes,50.0,50.0,0,15,Bug,,45,173,1000000,Ordinary,60,50,70,50,90,65,385,0,0
270,Lotad,Lotad,3,0.5,2.6,Water,Grass,Swift Swim,Rain Dish,Own Tempo,50.0,50.0,0,15,Water1,Grass,255,44,1059860,Ordinary,40,30,30,40,50,30,220,0,0
271,Lombre,Lombre,3,1.2,32.5,Water,Grass,Swift Swim,Rain Dish,Own Tempo,50.0,50.0,0,15,Water1,Grass,120,119,1059860,Ordinary,60,50,50,60,70,50,340,0,0
272,Ludicolo,Ludicolo,3,1.5,55.0,Water,Grass,Swift Swim,Rain Dish,Own Tempo,50.0,50.0,0,15,Water1,Grass,45,240,1059860,Ordinary,80,70,70,90,100,70,480,0,0
273,Seedot,Seedot,3,0.5,4.0,Grass,,Chlorophyll,Early Bird,Pickpocket,50.0,50.0,0,15,Ground,Grass,255,44,1059860,Ordinary,40,40,50,30,30,30,220,0,0
274,Nuzleaf,Nuzleaf,3,1.0,28.0,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,50.0,50.0,0,15,Ground,Grass,120,119,1059860,Ordinary,70,70,40,60,40,60,340,0,0
275,Shiftry,Shiftry,3,1.3,59.6,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,50.0,50.0,0,15,Ground,Grass,45,240,1059860,Ordinary,90,100,60,90,60,80,480,0,0
276,Taillow,Taillow,3,0.3,2.3,Normal,Flying,Guts,,Scrappy,50.0,50.0,0,15,Flying,,200,54,1059860,Ordinary,40,55,30,30,30,85,270,0,0
277,Swellow,Swellow,3,0.7,19.8,Normal,Flying,Guts,,Scrappy,50.0,50.0,0,15,Flying,,45,159,1059860,Ordinary,60,85,60,75,50,125,455,0,0
278,Wingull,Wingull,3,0.6,9.5,Water,Flying,Keen Eye,Hydration,Rain Dish,50.0,50.0,0,20,Water1,Flying,190,54,1000000,Ordinary,40,30,30,55,30,85,270,0,0
279,Pelipper,Pelipper,3,1.2,28.0,Water,Flying,Keen Eye,Drizzle,Rain Dish,50.0,50.0,0,20,Water1,Flying,45,154,1000000,Ordinary,60,50,100,95,70,65,440,0,0
280,Ralts,Ralts,3,0.4,6.6,Psychic,Fairy,Synchronize,Trace,Telepathy,50.0,50.0,0,20,Human-Like,Amorphous,235,40,1250000,Ordinary,28,25,25,45,35,40,198,0,0
281,Kirlia,Kirlia,3,0.8,20.2,Psychic,Fairy,Synchronize,Trace,Telepathy,50.0,50.0,0,20,Human-Like,Amorphous,120,97,1250000,Ordinary,38,35,35,65,55,50,278,0,0
282,Gardevoir,Gardevoir,3,1.6,48.4,Psychic,Fairy,Synchronize,Trace,Telepathy,50.0,50.0,0,20,Human-Like,Amorphous,45,259,1250000,Ordinary,68,65,65,125,115,80,518,0,1
283,Surskit,Surskit,3,0.5,1.7,Bug,Water,Swift Swim,,Rain Dish,50.0,50.0,0,15,Water1,Bug,200,54,1000000,Ordinary,40,30,32,50,52,65,269,0,0
284,Masquerain,Masquerain,3,0.8,3.6,Bug,Flying,Intimidate,,Unnerve,50.0,50.0,0,15,Water1,Bug,75,159,1000000,Ordinary,70,60,62,100,82,80,454,0,0
